2,junior,senior
0,0,1
1,0,1
2,1,0
3,1,0
4,1,0
5,0,1
6,0,1
7,0,1
8,0,1
9,0,1
10,0,1
11,0,1
12,0,1
13,0,1
14,1,0
15,1,0
16,1,0
17,1,0
18,1,0
19,0,1
20,0,1
21,0,1
22,1,0
23,1,0
24,0,1
25,0,1
26,0,1
27,0,1
28,0,1
29,1,0
30,0,1
31,1,0
32,0,1
33,1,0
34,0,1
35,0,1
36,0,1
37,0,1
38,0,1
39,0,1
40,0,1
41,0,1
42,1,0
43,1,0
44,0,1
45,1,0
46,1,0
47,1,0
48,0,1
49,1,0
50,0,1
51,0,1
52,1,0
53,1,0
54,0,1
55,0,1
56,0,1
57,1,0
58,0,1
59,0,1
60,0,1
61,1,0
62,0,1
63,1,0
64,0,1
65,0,1
66,0,1
67,1,0
68,0,1
69,1,0
70,1,0
71,1,0
72,0,1
73,0,1
74,1,0
75,0,1
76,0,1
77,1,0
78,0,1
79,0,1
80,0,1
81,1,0
82,1,0
83,1,0
84,0,1
85,1,0
86,1,0
87,0,1
88,1,0
89,1,0
90,1,0
91,1,0
92,0,1
93,1,0
94,1,0
95,1,0
96,0,1
97,1,0
98,0,1
99,1,0
100,1,0
101,0,1
102,1,0
103,0,1
104,0,1
105,1,0
106,0,1
107,1,0
108,1,0
109,1,0
110,0,1
111,0,1
112,0,1
113,1,0
114,1,0
115,0,1
116,0,1
117,0,1
118,0,1
119,1,0
120,1,0
121,0,1
122,0,1
123,1,0
124,1,0
125,1,0
126,0,1
127,1,0
128,1,0
129,1,0
130,0,1
131,0,1
132,0,1
133,0,1
134,0,1
135,1,0
136,0,1
137,1,0
138,1,0
139,0,1
140,0,1
141,0,1
142,1,0
143,1,0
144,0,1
145,1,0
146,1,0
147,1,0
148,1,0
149,1,0
150,0,1
151,1,0
152,0,1
153,0,1
154,0,1
155,1,0
156,1,0
157,0,1
158,1,0
159,1,0
160,0,1
161,1,0
162,1,0
163,1,0
164,0,1
165,1,0
166,1,0
167,0,1
168,1,0
169,1,0
170,1,0
171,0,1
172,1,0
173,1,0
174,1,0
175,1,0
176,1,0
177,1,0
178,1,0
179,1,0
180,0,1
181,1,0
182,0,1
183,1,0
184,0,1
185,1,0
186,1,0
187,1,0
188,1,0
189,1,0
190,1,0
191,1,0
192,1,0
193,1,0
194,1,0
195,1,0
196,0,1
197,0,1
198,1,0
199,0,1
200,1,0
201,0,1
202,1,0
203,1,0
204,0,1
205,1,0
206,0,1
207,1,0
208,0,1
209,1,0
210,0,1
211,1,0
212,1,0
213,1,0
214,1,0
215,1,0
216,1,0
217,0,1
218,1,0
219,1,0
220,0,1
221,1,0
222,1,0
223,1,0
224,1,0
225,1,0
226,1,0
227,1,0
228,1,0
229,0,1
230,1,0
231,1,0
232,1,0
233,1,0
234,0,1
235,0,1
236,1,0
237,1,0
238,1,0
239,0,1
240,1,0
241,1,0
242,1,0
243,1,0
244,1,0
245,1,0
246,1,0
247,0,1
248,1,0
249,0,1
250,1,0
251,1,0
252,1,0
253,0,1
254,1,0
255,1,0
256,0,1
257,0,1
258,1,0
259,1,0
260,1,0
261,0,1
262,1,0
263,1,0
264,1,0
265,0,1
266,0,1
267,1,0
268,0,1
269,1,0
270,1,0
271,1,0
272,1,0
273,1,0
274,1,0
275,1,0
276,1,0
277,1,0
278,0,1
279,1,0
280,1,0
281,1,0
282,0,1
283,0,1
284,1,0
285,1,0
286,1,0
287,1,0
288,1,0
289,1,0
290,1,0
291,0,1
292,1,0
293,1,0
294,1,0
295,1,0
296,0,1
297,0,1
298,1,0
299,0,1
300,0,1
301,1,0
302,0,1
303,1,0
304,1,0
305,1,0
306,1,0
307,1,0
308,1,0
309,1,0
310,1,0
311,1,0
312,0,1
313,1,0
314,0,1
315,1,0
316,1,0
317,1,0
318,1,0
319,0,1
320,0,1
321,1,0
322,1,0
323,1,0
324,0,1
325,1,0
326,0,1
327,0,1
328,1,0
329,0,1
330,1,0
331,0,1
332,0,1
333,1,0
334,0,1
335,1,0
336,0,1
337,0,1
338,1,0
339,1,0
340,0,1
341,0,1
342,0,1
343,1,0
344,0,1
345,1,0
346,0,1
347,0,1
348,1,0
349,1,0
350,1,0
351,0,1
352,1,0
353,0,1
354,0,1
355,1,0
356,0,1
357,1,0
358,0,1
359,0,1
360,0,1
361,1,0
362,0,1
363,0,1
364,0,1
365,1,0
366,1,0
367,0,1
368,1,0
369,1,0
370,0,1
371,0,1
372,1,0
373,1,0
374,1,0
375,1,0
376,1,0
377,0,1
378,1,0
379,1,0
380,1,0
381,1,0
382,1,0
383,0,1
384,1,0
385,0,1
386,1,0
387,1,0
388,0,1
389,1,0
390,1,0
391,1,0
392,1,0
393,0,1
394,1,0
395,0,1
396,1,0
397,1,0
398,0,1
399,0,1
400,1,0
401,1,0
402,0,1
403,1,0
404,1,0
405,1,0
406,1,0
407,1,0
408,1,0
409,1,0
410,1,0
411,1,0
412,0,1
413,0,1
414,1,0
415,1,0
416,0,1
417,1,0
