4,faculty,student,senior,junior
0,0,1,0,1
1,0,1,0,1
2,0,1,0,1
3,0,1,0,1
4,0,1,0,1
5,0,1,0,1
6,0,1,0,1
7,1,0,1,0
8,0,1,0,1
9,0,1,0,1
10,0,1,0,1
11,0,1,1,0
12,0,1,0,1
13,1,0,1,0
14,0,1,0,1
15,0,1,1,0
16,0,1,0,1
17,1,0,1,0
18,0,1,1,0
19,0,1,1,0
20,0,1,0,1
21,0,1,1,0
22,0,1,0,1
23,0,1,0,1
24,0,1,0,1
25,0,1,0,1
26,0,1,0,1
27,0,1,0,1
28,0,1,0,1
29,0,1,0,1
30,1,0,1,0
31,0,1,1,0
32,0,1,1,0
33,0,1,0,1
34,0,1,0,1
35,0,1,1,0
36,1,0,1,0
37,0,1,0,1
38,1,0,1,0
39,0,1,1,0
40,0,1,0,1
41,0,1,1,0
42,0,1,0,1
43,0,1,0,1
44,0,1,1,0
45,0,1,0,1
46,0,1,0,1
47,0,1,1,0
48,0,1,0,1
49,0,1,1,0
50,0,1,0,1
51,0,1,1,0
52,0,1,0,1
53,0,1,1,0
54,0,1,0,1
55,0,1,0,1
56,0,1,0,1
57,0,1,0,1
58,0,1,0,1
59,0,1,1,0
60,0,1,0,1
61,0,1,0,1
62,0,1,0,1
63,0,1,0,1
64,0,1,0,1
65,0,1,0,1
66,0,1,1,0
67,0,1,1,0
68,0,1,0,1
69,0,1,0,1
70,0,1,0,1
71,0,1,0,1
72,0,1,0,1
73,0,1,0,1
74,0,1,1,0
75,0,1,1,0
76,0,1,1,0
77,0,1,0,1
78,0,1,0,1
79,0,1,1,0
80,0,1,1,0
81,0,1,0,1
82,0,1,0,1
83,0,1,1,0
84,0,1,0,1
85,0,1,0,1
86,0,1,0,1
87,0,1,0,1
88,0,1,0,1
89,0,1,0,1
90,0,1,0,1
91,0,1,0,1
92,0,1,1,0
93,0,1,0,1
94,0,1,0,1
95,0,1,0,1
96,0,1,0,1
97,0,1,0,1
98,0,1,1,0
99,0,1,1,0
100,0,1,0,1
101,0,1,0,1
102,0,1,1,0
103,0,1,0,1
104,0,1,0,1
105,0,1,0,1
106,0,1,1,0
107,0,1,0,1
108,0,1,1,0
109,0,1,0,1
110,0,1,0,1
111,0,1,0,1
112,0,1,1,0
113,0,1,1,0
114,0,1,1,0
115,0,1,0,1
116,0,1,1,0
117,0,1,1,0
118,0,1,1,0
119,0,1,0,1
120,0,1,0,1
121,0,1,0,1
122,0,1,1,0
123,0,1,0,1
124,0,1,0,1
125,0,1,1,0
126,0,1,0,1
127,0,1,1,0
128,0,1,0,1
129,0,1,1,0
130,0,1,0,1
131,0,1,0,1
132,0,1,0,1
133,0,1,0,1
134,0,1,0,1
135,0,1,0,1
136,0,1,0,1
137,0,1,0,1
138,0,1,0,1
139,0,1,0,1
140,0,1,0,1
141,0,1,0,1
142,0,1,0,1
143,0,1,0,1
144,0,1,0,1
145,0,1,0,1
146,0,1,0,1
147,0,1,0,1
148,0,1,0,1
149,0,1,0,1
150,0,1,0,1
151,0,1,0,1
152,0,1,0,1
153,0,1,0,1
154,0,1,0,1
155,0,1,0,1
156,0,1,0,1
157,0,1,0,1
158,0,1,0,1
159,0,1,0,1
160,0,1,0,1
161,0,1,0,1
162,0,1,0,1
163,0,1,0,1
164,0,1,0,1
165,0,1,0,1
166,0,1,0,1
167,0,1,0,1
168,0,1,0,1
169,0,1,1,0
170,0,1,0,1
171,0,1,0,1
172,0,1,0,1
173,0,1,0,1
174,0,1,0,1
175,0,1,0,1
176,0,1,0,1
177,1,0,1,0
178,0,1,0,1
179,0,1,0,1
180,0,1,0,1
181,0,1,0,1
182,0,1,0,1
183,0,1,0,1
184,0,1,0,1
185,0,1,0,1
186,0,1,0,1
